Checkpoint,Games,Target_Aggression,Adaptation_Rate,Exploitation_Score,Strategy_Rotations
0,200,0.0000,0.2300,0.0000,0
1,400,0.0000,0.0950,0.0430,1
2,600,1.0000,0.1400,0.0160,2
3,800,1.0000,0.0975,0.0415,3
4,1000,1.0000,0.0880,0.0472,4
5,1200,0.0000,0.0883,0.0470,5
6,1400,0.0000,0.1371,0.0177,6
7,1600,0.0000,0.1075,0.0355,7
8,1800,0.2700,0.1011,0.0393,8
9,2000,0.9700,0.0820,0.0508,9
10,2200,1.0000,0.0791,0.0525,10
11,2400,1.0000,0.0692,0.0585,11
12,2600,0.7700,0.0631,0.0622,12
13,2800,0.7000,0.0536,0.0679,13
14,3000,0.0000,0.0527,0.0684,14
15,3200,0.0000,0.0719,0.0569,15
16,3400,0.0000,0.0924,0.0446,16
17,3600,0.0000,0.1122,0.0327,17
18,3800,0.0000,0.1258,0.0245,18
19,3999,0.0000,0.1424,0.0146,19
