Checkpoint,Games,Avg_Reward,Win_Rate,Network_Confidence,Experience_Loss,Strategy_Stability,Time_Elapsed
0,50,1.0314,0.3800,0.5228,0.956701,0.0520,0.00
1,100,1.4629,0.3100,0.4388,0.971415,0.1100,0.00
2,150,1.2424,0.3733,0.4626,0.983921,0.1700,0.00
3,200,0.9394,0.3400,0.4377,0.975491,0.2370,0.00
4,250,1.3573,0.3240,0.3773,0.949218,0.3190,0.00
5,300,0.9590,0.3167,0.3706,0.980315,0.4020,0.00
6,350,1.3404,0.2857,0.5295,0.970012,0.5100,0.00
7,400,1.0254,0.2825,0.4170,0.969191,0.6240,0.00
8,450,0.9086,0.2822,0.3780,0.977421,0.7500,0.00
9,500,1.4795,0.2740,0.4017,0.986173,0.9140,0.00
10,550,0.8239,0.2782,0.4080,0.977446,1.0470,0.00
11,600,0.9245,0.2767,0.3605,0.969239,1.2190,0.00
12,650,1.0979,0.2769,0.4164,0.971901,1.3160,0.00
13,700,0.9661,0.2771,0.4059,0.963344,1.3950,0.00
14,750,1.0728,0.2893,0.3972,0.980249,1.5750,0.00
15,800,1.1998,0.2875,0.4063,0.967618,1.7220,0.00
16,850,1.2994,0.2800,0.4010,0.966320,1.8820,0.00
17,900,1.5980,0.2856,0.4289,0.975656,2.0790,0.00
18,950,1.4254,0.2905,0.3909,0.976703,2.4080,0.00
19,999,0.8678,0.2883,0.3762,0.982463,2.6510,0.00
