Game,AI_0_WinRate,AI_1_WinRate,AI_2_WinRate,AI_3_WinRate,AvgCredits,ExperienceBufferSize
50,44.00,18.00,24.00,16.00,100.0,10197
100,39.00,20.00,21.00,21.00,100.0,15602
150,35.33,19.33,23.33,22.67,100.0,18997
200,31.50,22.00,21.50,25.50,100.0,24483
250,28.00,23.60,23.60,25.20,100.0,28160
300,30.67,22.67,23.00,24.00,100.0,32010
350,33.14,21.14,22.57,23.43,100.0,38419
400,33.00,21.25,24.75,21.25,100.0,45245
450,33.56,23.11,23.56,20.00,100.0,52298
500,34.40,22.40,23.20,20.20,100.0,59570
550,33.64,22.55,23.45,20.55,100.0,64984
600,34.33,22.33,22.83,20.67,100.0,74141
650,34.31,21.85,22.77,21.23,100.0,81693
700,34.14,21.86,22.57,21.57,100.0,89941
750,32.93,21.87,22.93,22.40,100.0,94858
800,31.75,21.50,24.00,22.88,100.0,100000
850,31.76,21.88,24.12,22.35,100.0,100000
900,31.33,22.44,24.11,22.22,100.0,100000
950,30.95,22.21,24.11,22.84,100.0,100000
999,30.13,23.42,23.32,23.22,100.0,100000
