Epoch,Loss,Time_Elapsed,Learning_Rate
0,0.055702,0.01,0.050000
1,0.050268,0.01,0.050000
2,0.047935,0.02,0.050000
3,0.067166,0.02,0.050000
4,0.055193,0.03,0.050000
5,0.058553,0.03,0.050000
6,0.078143,0.04,0.050000
7,0.059090,0.04,0.050000
8,0.090127,0.04,0.050000
9,0.042332,0.05,0.050000
10,0.053988,0.05,0.050000
11,0.051138,0.06,0.050000
12,0.053424,0.06,0.050000
13,0.051600,0.06,0.050000
14,0.053123,0.07,0.050000
15,0.068198,0.07,0.050000
16,0.051442,0.07,0.050000
17,0.051564,0.08,0.050000
18,0.043060,0.08,0.050000
19,0.045528,0.09,0.050000
20,0.048590,0.09,0.050000
21,0.048534,0.10,0.050000
22,0.051295,0.10,0.050000
23,0.050931,0.10,0.050000
24,0.051817,0.11,0.050000
25,0.047211,0.11,0.050000
26,0.054166,0.11,0.050000
27,0.047956,0.12,0.050000
28,0.047111,0.12,0.050000
29,0.051452,0.13,0.050000
30,0.045790,0.15,0.050000
31,0.047072,0.16,0.050000
32,0.049500,0.17,0.050000
33,0.046698,0.17,0.050000
34,0.054655,0.17,0.050000
35,0.048591,0.18,0.050000
36,0.048235,0.18,0.050000
37,0.044835,0.19,0.050000
38,0.048000,0.19,0.050000
39,0.045890,0.19,0.050000
40,0.039110,0.20,0.050000
41,0.052148,0.20,0.050000
42,0.048153,0.21,0.050000
43,0.050284,0.21,0.050000
44,0.048328,0.21,0.050000
45,0.044978,0.22,0.050000
46,0.055134,0.22,0.050000
47,0.061380,0.23,0.050000
48,0.050697,0.23,0.050000
49,0.063100,0.23,0.050000
50,0.055461,0.24,0.050000
51,0.054645,0.24,0.050000
52,0.047008,0.25,0.050000
53,0.050665,0.25,0.050000
54,0.050009,0.26,0.050000
55,0.056431,0.26,0.050000
56,0.051837,0.27,0.050000
57,0.047020,0.27,0.050000
58,0.047216,0.27,0.050000
59,0.045060,0.28,0.050000
60,0.045712,0.28,0.050000
61,0.051236,0.29,0.050000
62,0.044279,0.29,0.050000
63,0.046923,0.30,0.050000
64,0.043684,0.30,0.050000
65,0.044764,0.30,0.050000
66,0.050873,0.31,0.050000
67,0.046480,0.31,0.050000
68,0.047592,0.32,0.050000
69,0.049144,0.32,0.050000
70,0.047811,0.33,0.050000
71,0.052098,0.33,0.050000
72,0.040395,0.34,0.050000
73,0.037597,0.34,0.050000
74,0.039032,0.34,0.050000
75,0.049713,0.35,0.050000
76,0.042217,0.35,0.050000
77,0.037972,0.36,0.050000
78,0.040344,0.36,0.050000
79,0.045986,0.36,0.050000
80,0.047189,0.37,0.050000
81,0.045951,0.37,0.050000
82,0.054791,0.38,0.050000
83,0.045489,0.38,0.050000
84,0.046935,0.39,0.050000
85,0.047674,0.39,0.050000
86,0.047260,0.40,0.050000
87,0.049103,0.40,0.050000
88,0.050301,0.40,0.050000
89,0.035220,0.42,0.050000
90,0.044628,0.42,0.050000
91,0.042516,0.43,0.050000
92,0.044266,0.43,0.050000
93,0.044367,0.44,0.050000
94,0.048450,0.46,0.050000
95,0.051179,0.46,0.050000
96,0.081394,0.47,0.050000
97,0.074926,0.47,0.050000
98,0.049244,0.47,0.050000
99,0.050157,0.48,0.050000
100,0.044787,0.49,0.050000
101,0.051708,0.49,0.050000
102,0.049135,0.50,0.050000
103,0.050194,0.50,0.050000
104,0.047738,0.51,0.050000
105,0.051711,0.51,0.050000
106,0.049335,0.51,0.050000
107,0.049494,0.52,0.050000
108,0.040376,0.53,0.050000
109,0.046564,0.54,0.050000
110,0.059666,0.55,0.050000
111,0.044092,0.55,0.050000
112,0.046310,0.56,0.050000
113,0.047252,0.56,0.050000
114,0.049082,0.56,0.050000
115,0.035307,0.57,0.050000
116,0.035186,0.57,0.050000
117,0.041773,0.58,0.050000
118,0.048744,0.58,0.050000
119,0.043124,0.59,0.050000
120,0.043842,0.59,0.050000
121,0.042221,0.60,0.050000
122,0.043670,0.60,0.050000
123,0.044013,0.61,0.050000
124,0.046705,0.61,0.050000
125,0.045155,0.62,0.050000
126,0.043554,0.62,0.050000
127,0.041552,0.63,0.050000
128,0.043311,0.64,0.050000
129,0.043987,0.64,0.050000
130,0.051676,0.65,0.050000
131,0.058163,0.65,0.050000
132,0.044102,0.67,0.050000
133,0.034094,0.68,0.050000
134,0.027101,0.70,0.050000
135,0.048494,0.71,0.050000
136,0.047221,0.72,0.050000
137,0.043790,0.72,0.050000
138,0.045075,0.73,0.050000
139,0.041444,0.74,0.050000
140,0.045055,0.74,0.050000
141,0.044821,0.75,0.050000
142,0.038971,0.76,0.050000
143,0.048578,0.77,0.050000
144,0.041890,0.77,0.050000
145,0.044908,0.78,0.050000
146,0.053764,0.79,0.050000
147,0.045721,0.79,0.050000
148,0.036737,0.80,0.050000
149,0.039810,0.81,0.050000
150,0.037976,0.82,0.050000
151,0.047911,0.83,0.050000
152,0.047344,0.84,0.050000
153,0.046267,0.86,0.050000
154,0.045270,0.88,0.050000
155,0.050053,0.88,0.050000
156,0.042802,0.89,0.050000
157,0.045765,0.89,0.050000
158,0.044854,0.90,0.050000
159,0.056302,0.91,0.050000
160,0.050614,0.91,0.050000
